id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
9,2.5,-0.1520444951,-0.1621979057,-0.1985416759,-0.7480947566,-1.1534910287,-1.5178624837
9,2.6,-0.1532500859,-0.1602352321,-0.2002165441,-0.7520401973,-1.1688812993,-1.5544208155
9,2.7,-0.1552913326,-0.15924235,-0.1942788159,-0.7529334752,-1.1712039696,-1.5646470417
9,2.8,-0.1562767728,-0.1580980253,-0.1888474466,-0.756088782,-1.1745230685,-1.5711080436
9,2.9,-0.1607105005,-0.1078724922,-0.0588280307,-0.7561261847,-1.0516666847,-1.3049774388
9,3,-0.1558898769,-0.1505360394,-0.1692323462,-0.7564173283,-1.153631258,-1.4842200159
9,3.1,-0.1515279204,-0.1491069718,-0.1751729548,-0.7554818452,-1.1604033279,-1.503734226
9,3.2,-0.1512483831,-0.1521093834,-0.1876585953,-0.7516750941,-1.1689565804,-1.5499913986
9,3.3,-0.1517688103,-0.1524112566,-0.183931106,-0.7473734321,-1.1657596571,-1.5568037573
9,3.4,-0.1629308454,-0.0965793325,-0.0376942719,-0.734837694,-1.0102360362,-1.236484893
9,3.5,-0.1671731974,-0.1456135428,-0.1503865368,-0.7278713583,-1.1070409982,-1.4059887379
9,3.6,-0.164608025,-0.0846666925,-0.0078000326,-0.7281694255,-0.9371322424,-1.1380579997
9,3.7,-0.1595192163,-0.1277952937,-0.1279795245,-0.7270290625,-1.0868455449,-1.368604498
9,3.8,-0.1498248453,-0.1367684673,-0.1699641841,-0.7210595846,-1.1240868184,-1.4582296788
9,3.9,-0.1300505758,-0.0412063834,-0.0137925643,-0.7217891459,-0.9389169611,-1.2767666265
9,4,-0.1062932755,0.1069476008,0.2812935873,-0.7150352158,-0.9112548365,-1.1272916952
9,4.1,-0.0840741714,0.0738790623,0.1484405104,-0.7134150711,-0.9558554874,-1.3341695144
9,4.2,-0.0753220061,0.076068822,0.1619846787,-0.703933899,-0.9627943469,-1.2691290879
9,4.3,-0.0676837347,0.0522104106,0.0718227343,-0.7045551798,-1.0180385128,-1.418391643
9,4.4,-0.0641089867,-0.1182673284,-0.1866809081,-0.7053942024,-1.0908796137,-1.479439438
9,4.5,-0.0636835721,-0.1206969677,-0.1841353499,-0.7013729617,-1.1132992939,-1.5079017747
9,4.6,-0.0632017805,-0.0631821153,-0.0978658205,-0.6972090166,-1.1126416839,-1.5130915464
9,4.7,-0.0632017805,-0.0631821153,-0.0978658205,-0.6972090166,-1.1126416839,-1.5130915464
